Rank,Movie_name,URL,Release_Year,IMDB_Rating,Metascore,Reviewer_count,Censor_Board_Rating,Movie_Length,Genre_1,Genre_2,Genre_3,Genre_4,Release_Date,Story_Summary,Director,Writer_1,Writer_2,Writer_3,Star_1,Star_2,Star_3,Star_4,Star_5,Plot_Keywords,Budget,Gross_USA,Cum_Worldwide_Gross,Production_Company
948,Madagascar: Escape 2 Africa,https://www.imdb.com/title/tt0479952/,2008,6.6,61,"198,570",PG,1h 29min,Animation,Adventure,Comedy, ,18 December 2008 (Israel),"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",Eric Darnell,Etan Cohen,Eric Darnell, ,Ben Stiller,Chris Rock,David Schwimmer, , ,cult film|zoo|madagascar|new york city|sequel,"$150,000,000(estimated)","$180,010,950","$603,900,354","DreamWorks Animation,Pacific Data Images (PDI)"
949,Death Race,https://www.imdb.com/title/tt0452608/,2008,6.4,43,"194,743",R,1h 45min,Action,Sci-Fi,Thriller, ,22 August 2008 (USA),Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,Paul W.S. Anderson,Paul W.S. Anderson(screenplay),Paul W.S. Anderson(screen story),3 more credits»,Jason Statham,Joan Allen,Tyrese Gibson, , ,armoured vehicle|prison|car|prison warden|dystopia,"$45,000,000(estimated)","$36,316,032","$76,014,335","Universal Pictures,Relativity Media,Cruise/Wagner Productions"
950,The Happening,https://www.imdb.com/title/tt0949731/,2008,5.0,34,"192,451",R,1h 31min,Drama,Mystery,Sci-Fi, ,12 June 2008 (Israel),"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",M. Night Shyamalan,M. Night Shyamalan, , ,Mark Wahlberg,Zooey Deschanel,John Leguizamo, , ,nature|unprecedented|no particular reason|grey matter|artificial plant,"$48,000,000(estimated)","$64,506,874","$163,403,799","Twentieth Century Fox,UTV Motion Pictures,Spyglass Entertainment"
951,Revolutionary Road,https://www.imdb.com/title/tt0959337/,2008,7.3,69,"190,127",R,1h 59min,Drama,Romance, , ,29 January 2009 (Israel),A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,Sam Mendes,Justin Haythe(screenplay),Richard Yates(novel), ,Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald, , ,unhappy love|abortion|beach|shower|bare chested male,"$35,000,000(estimated)","$22,911,480","$75,981,180","DreamWorks,BBC Films,Evamere Entertainment"
952,The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/,2008,6.5,62,"189,313",PG,2h 30min,Action,Adventure,Family, ,5 June 2008 (Israel),"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",Andrew Adamson,Andrew Adamson(screenplay),Christopher Markus(screenplay),2 more credits»,Ben Barnes,Skandar Keynes,Georgie Henley, , ,narnia|king|good versus evil|brother sister relationship|brother brother relationship,"$225,000,000(estimated)","$141,621,490","$419,665,568","Walt Disney Pictures,Walden Media,Ozumi Films"
953,You Don't Mess with the Zohan,https://www.imdb.com/title/tt0960144/,2008,5.5,54,"186,902",PG-13,1h 53min,Comedy, , , ,19 June 2008 (Israel),An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan,Adam Sandler,Robert Smigel, ,Adam Sandler,John Turturro,Emmanuelle Chriqui, , ,hair stylist|palestinian|funny arab|arab israeli conflict|super strength,"$90,000,000(estimated)","$100,018,837","$204,313,400","Columbia Pictures,Relativity Media,Happy Madison Productions"
954,Bolt,https://www.imdb.com/title/tt0397892/,2008,6.8,67,"184,739",PG,1h 36min,Animation,Adventure,Comedy, ,4 December 2008 (Israel),The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,Byron Howard,Dan Fogelman(screenplay by),Chris Williams(screenplay by), ,John Travolta,Miley Cyrus,Susie Essman, , ,reference to tiger beat magazine|time bomb|3 dimensional|supernatural power|heartfelt,"$150,000,000(estimated)","$114,053,579","$309,979,994","Walt Disney Animation Studios,Walt Disney Pictures"
955,The Boy in the Striped Pyjamas,https://www.imdb.com/title/tt0914798/,2008,7.8,55,"184,558",PG-13,1h 33min,Drama,War, , ,30 October 2008 (Israel),"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman,John Boyne(novel),Mark Herman(screenplay), ,Asa Butterfield,David Thewlis,Rupert Friend, , ,jew|boy|poison gas|fence|jewish,"$12,500,000(estimated)","$9,046,156","$40,416,563","Miramax,BBC Films,Heyday Films"
956,Eagle Eye,https://www.imdb.com/title/tt1059786/,2008,6.6,43,"173,046",PG-13,1h 58min,Action,Mystery,Thriller, ,9 October 2008 (Israel),"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",D.J. Caruso,John Glenn(screenplay),Travis Wright(screenplay) (as Travis Adam Wright),3 more credits»,Shia LaBeouf,Michelle Monaghan,Rosario Dawson, , ,audio surveillance|geopolitical|regime change|school bus|museum,"$80,000,000(estimated)","$101,440,743","$178,767,383","DreamWorks,Goldcrest Pictures,KMP Film Invest"
957,The Bank Job,https://www.imdb.com/title/tt0200465/,2008,7.2,69,"170,714",Not Rated,1h 51min,Crime,Thriller, , ,15 May 2008 (Israel),Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,Roger Donaldson,Dick Clement,Ian La Frenais, ,Jason Statham,Saffron Burrows,Stephen Campbell Moore, , ,safe deposit|heist|chase|mobster|london england,"$20,000,000(estimated)","$30,060,660","$64,828,421","Mosaic Media Group,Relativity Media,Omnilab Media"
958,Zack and Miri Make a Porno,https://www.imdb.com/title/tt1007028/,2008,6.5,56,"170,335",R,1h 41min,Comedy,Romance, , ,27 November 2008 (Israel),"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",Kevin Smith,Kevin Smith, , ,Seth Rogen,Elizabeth Banks,Craig Robinson, , ,neo screwball comedy|friend|porn actor|pornography filmmaker|pornography actress,"$24,000,000(estimated)","$31,457,946","$42,784,344","Blue Askew,The Weinstein Company,View Askew Productions"
959,What Happens in Vegas,https://www.imdb.com/title/tt1033643/,2008,6.1,36,"162,574",PG-13,1h 39min,Comedy,Romance, , ,8 May 2008 (Israel),"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",Tom Vaughan,Dana Fox, , ,Cameron Diaz,Ashton Kutcher,Rob Corddry, , ,jackpot|wedding|drunkenness|hit in the crotch|father son relationship,"$35,000,000(estimated)","$80,277,646","$219,375,562","Twentieth Century Fox,Regency Enterprises,21 Laps Entertainment"
960,Milk,https://www.imdb.com/title/tt1013753/,2008,7.5,84,"161,772",R,2h 8min,Biography,Drama, , ,12 March 2009 (Israel),The story ofHarvey Milkand his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.,Gus Van Sant,Dustin Lance Black, , ,Sean Penn,Josh Brolin,Emile Hirsch, , ,gay activist|gay|gay rights|california|gay pickup,"$20,000,000(estimated)","$31,841,299","$54,589,558","Focus Features,Axon Films,Groundswell Productions"
961,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,2009,8.3,69,"1,219,964",R,2h 33min,Adventure,Drama,War, ,17 September 2009 (Israel),"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Quentin Tarantino, , ,Brad Pitt,Diane Kruger,Eli Roth, , ,revenge|nazi hunter|world war two|nazi|jewish resistance,"$70,000,000(estimated)","$120,540,719","$321,455,689","Universal Pictures,The Weinstein Company,A Band Apart"
962,Avatar,https://www.imdb.com/title/tt0499549/,2009,7.8,83,"1,096,407",PG-13,2h 42min,Action,Adventure,Fantasy, ,17 December 2009 (Israel),A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,James Cameron, , ,Sam Worthington,Zoe Saldana,Sigourney Weaver, , ,spiritualism|paraplegic|marine|future|forest protection,"$237,000,000(estimated)","$760,507,625","$2,790,439,000","Twentieth Century Fox,Dune Entertainment,Lightstorm Entertainment"
963,Up,https://www.imdb.com/title/tt1049413/,2009,8.2,88,"905,402",PG,1h 36min,Animation,Adventure,Comedy, ,23 July 2009 (Israel),"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,Pete Docter(story by),Bob Peterson(story by),3 more credits»,Edward Asner,Jordan Nagai,John Ratzenberger, , ,child in jeopardy|heartfelt|original story|balloon|south america,"$175,000,000(estimated)","$293,004,164","$735,099,082","Pixar Animation Studios,Walt Disney Pictures"
964,The Hangover,https://www.imdb.com/title/tt1119646/,2009,7.7,73,"702,566",R,1h 40min,Comedy, , , ,30 July 2009 (Israel),"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,Jon Lucas,Scott Moore, ,Zach Galifianakis,Bradley Cooper,Justin Bartha, , ,female frontal nudity|female nudity|hangover|scantily clad female|bachelor party,"$35,000,000(estimated)","$277,322,503","$469,310,836","Warner Bros.,Legendary Entertainment,Green Hat Films"
965,District 9,https://www.imdb.com/title/tt1136608/,2009,7.9,81,"627,830",R,1h 52min,Action,Sci-Fi,Thriller, ,22 October 2009 (Israel),Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,Neill Blomkamp,Terri Tatchell, ,Sharlto Copley,David James,Jason Cope, , ,alien|social commentary|mockumentary|based on short film|removing fingernail,"$30,000,000(estimated)","$115,646,235","$210,888,950","TriStar Pictures,Block / Hanson,WingNut Films"
